categories_list,product,review_count,avg_rating,pos_ratio
 audio player accessories,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
 audio player accessories,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
 audio player accessories,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
 audio player accessories,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
 audio player accessories,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
 garage & office,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
 garage & office,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
 garage & office,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
 garage & office,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
 garage & office,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
 movies,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
 movies,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
 movies,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
 movies,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
 movies,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
 music,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
 music,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
 music,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
 music,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
 music,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
 tech toys,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
 tech toys,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
 tech toys,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
 tech toys,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
 tech toys,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
 wi-fi  3g (unlocked...,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",332,4.716867469879518,0.8554216867469879
 wi-fi  3g (unlocked...,"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
 wi-fi  3g (unlocked...,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",49,4.816326530612245,0.9183673469387755
 wi-fi  3g (unlocked...,"brand name Paperwhite E-reader - White, 6 High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers,,",30,4.533333333333333,0.9
 wi-fi  3g (unlocked...,"brand name Paperwhite,,,_x000D_
brand name Paperwhite,,,",9,4.888888888888889,1.0
alarms & sensors,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
alarms & sensors,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
alarms & sensors,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
alarms & sensors,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
alarms & sensors,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
all tablets,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10961,4.453243317215582,0.825107198248335
all tablets,"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",2814,4.5867093105899075,0.8368869936034116
all tablets,"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",1679,4.51340083382966,0.8141751042287075
all tablets,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",973,4.533401849948612,0.8201438848920863
all tablets,"
electonics brand Home",395,4.4481012658227845,0.7772151898734178
all windows tablets,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
all windows tablets,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",248,4.778225806451613,0.8508064516129032
android tablets,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
android tablets,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
android tablets,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
android tablets,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
android tablets,"brand name Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",6,3.8333333333333335,0.6666666666666666
audio,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
audio,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
audio,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
audio,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
audio,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
audio docks & mini speakers,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
audio docks & mini speakers,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
audio docks & mini speakers,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
audio docks & mini speakers,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
audio docks & mini speakers,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
book accessories,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
book accessories,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",248,4.778225806451613,0.8508064516129032
books & magazines,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
books & magazines,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",248,4.778225806451613,0.8508064516129032
brand name (5th generation) accessories,"brand name Keyboard,,,_x000D_
brand name Keyboard,,,",2,4.5,0.0
brand name (5th generation) accessories,"retail brand brand name Lighted Leather Cover,,,
retail brand brand name Lighted Leather Cover,,,",1,4.0,0.0
brand name (5th generation) accessories,"retail brand brand name Lighted Leather Cover,,,_x000D_
brand name Keyboard,,,",1,4.0,1.0
brand name (5th generation) accessories,"retail brand brand name Lighted Leather Cover,,,_x000D_
retail brand brand name Lighted Leather Cover,,,",1,3.0,0.0
brand name (5th generation) covers,"brand name Keyboard,,,_x000D_
brand name Keyboard,,,",2,4.5,0.0
brand name (5th generation) covers,"retail brand brand name Lighted Leather Cover,,,
retail brand brand name Lighted Leather Cover,,,",1,4.0,0.0
brand name (5th generation) covers,"retail brand brand name Lighted Leather Cover,,,_x000D_
brand name Keyboard,,,",1,4.0,1.0
brand name (5th generation) covers,"retail brand brand name Lighted Leather Cover,,,_x000D_
retail brand brand name Lighted Leather Cover,,,",1,3.0,0.0
brand name e-reader accessories,"retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,_x000D_
retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",188,4.452127659574468,0.7659574468085106
brand name e-reader accessories,"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",6,3.6666666666666665,0.5
brand name e-reader accessories,"brand name Keyboard,,,_x000D_
brand name Keyboard,,,",2,4.5,0.0
brand name e-reader accessories,"retail brand brand name Lighted Leather Cover,,,
retail brand brand name Lighted Leather Cover,,,",1,4.0,0.0
brand name e-reader accessories,"retail brand brand name Lighted Leather Cover,,,_x000D_
brand name Keyboard,,,",1,4.0,1.0
brand name e-readers,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
brand name e-readers,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",580,4.743103448275862,0.853448275862069
brand name e-readers,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",211,4.530805687203792,0.8009478672985783
brand name e-readers,"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
brand name e-readers,"brand name Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",67,4.611940298507463,0.7910447761194029
brand name paperwhite accessories,"retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,_x000D_
retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",188,4.452127659574468,0.7659574468085106
brand name paperwhite accessories,"retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,_x000D_
retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,",1,4.0,0.0
brand name store,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
brand name store,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
brand name store,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
brand name store,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
brand name store,"retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,_x000D_
retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",195,4.461538461538462,0.7743589743589744
brand name touch (4th generation) accessories,"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",6,3.6666666666666665,0.5
brand name touch (4th generation) covers,"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",6,3.6666666666666665,0.5
cases & bags,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
categories,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",19,4.578947368421052,0.2631578947368421
categories,"
electonics brand Home",8,3.125,0.25
categories,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",6,5.0,0.8333333333333334
clearance,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
clearance,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
clearance,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
clearance,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
clearance,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
computer accessories,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
computer accessories,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",2,4.5,0.5
computer components,"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",146,4.568493150684931,0.7602739726027398
computer components,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers,",12,4.833333333333333,0.75
computers,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
computers,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",793,4.515762925598991,0.8234552332912989
computers,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",426,4.530805687203792,0.8004694835680751
computers,"
electonics brand Home",395,4.4481012658227845,0.7772151898734178
computers,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",255,4.556862745098039,0.8352941176470589
computers & laptops,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
computers & laptops,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",248,4.778225806451613,0.8508064516129032
computers & tablets,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10961,4.453243317215582,0.825107198248335
computers & tablets,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",3176,4.755037783375315,0.8513853904282116
computers & tablets,"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",2814,4.5867093105899075,0.8368869936034116
computers & tablets,"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",1679,4.51340083382966,0.8141751042287075
computers & tablets,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",1030,4.5504854368932035,0.8213592233009709
consumer electronics,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
consumer electronics,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
consumer electronics,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
consumer electronics,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
consumer electronics,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
covers,"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",6,3.6666666666666665,0.5
covers,"brand name Keyboard,,,_x000D_
brand name Keyboard,,,",2,4.5,0.0
covers,"retail brand brand name Lighted Leather Cover,,,
retail brand brand name Lighted Leather Cover,,,",1,4.0,0.0
covers,"retail brand brand name Lighted Leather Cover,,,_x000D_
brand name Keyboard,,,",1,4.0,1.0
covers,"retail brand brand name Lighted Leather Cover,,,_x000D_
retail brand brand name Lighted Leather Cover,,,",1,3.0,0.0
e-readers,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
e-readers,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",248,4.778225806451613,0.8508064516129032
e-readers,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",211,4.530805687203792,0.8009478672985783
e-readers,"brand name Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",67,4.611940298507463,0.7910447761194029
e-readers,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",6,4.666666666666667,0.5
e-readers & accessories,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
e-readers & accessories,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",580,4.743103448275862,0.853448275862069
e-readers & accessories,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",211,4.530805687203792,0.8009478672985783
e-readers & accessories,"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
e-readers & accessories,"brand name Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",67,4.611940298507463,0.7910447761194029
ebook readers,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
ebook readers,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",580,4.743103448275862,0.853448275862069
ebook readers,"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
ebook readers,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",79,4.734177215189874,0.810126582278481
ebook readers,"brand name Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",67,4.611940298507463,0.7910447761194029
