categories_list,product,review_count,avg_rating,pos_ratio
ebook readers & accessories,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",16,4.5,0.3125
ebook readers & accessories,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",4,,0.75
ebook readers & accessories,"brand name Keyboard,,,_x000D_
brand name Keyboard,,,",2,4.5,0.0
ebook readers & accessories,"retail brand brand name Lighted Leather Cover,,,
retail brand brand name Lighted Leather Cover,,,",1,4.0,0.0
ebook readers & accessories,"retail brand brand name Lighted Leather Cover,,,_x000D_
brand name Keyboard,,,",1,4.0,1.0
electronics,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",21715,4.452489521440745,0.8253281142067695
electronics,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
electronics,"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",2814,4.5867093105899075,0.8368869936034116
electronics,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
electronics,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
electronics features,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
electronics features,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
electronics features,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
electronics features,"
electonics brand Home",1170,4.57008547008547,0.8401709401709402
electronics features,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",580,4.743103448275862,0.853448275862069
ereaders,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
ereaders,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",248,4.778225806451613,0.8508064516129032
ereaders & accessories,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",2,4.5,0.5
featured brands,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
featured brands,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
featured brands,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
featured brands,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
featured brands,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
frys,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
frys,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",175,4.594285714285714,0.8
frys,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
frys,"
electonics brand Home",10,4.7,0.9
frys,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
hard drives & storage,"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",146,4.568493150684931,0.7602739726027398
hard drives & storage,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers,",12,4.833333333333333,0.75
holiday shop,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
holiday shop,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
holiday shop,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
holiday shop,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
holiday shop,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
home,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",5052,4.650039588281868,0.8416468725257323
home,"electonics brand Home_x000D_
electonics brand Home",4200,4.693333333333333,0.8738095238095238
home,"
electonics brand Home",1596,4.637844611528822,0.8709273182957393
home,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",634,4.728706624605678,0.8769716088328076
home,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",256,4.7734375,0.8984375
home & furniture clearance,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
home & furniture clearance,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
home & furniture clearance,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
home & furniture clearance,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
home & furniture clearance,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
home automation,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
home automation,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
home automation,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
home automation,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
home automation,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
home improvement,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
home improvement,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
home improvement,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
home improvement,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
home improvement,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
home safety & security,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
home safety & security,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
home safety & security,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
home safety & security,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
home safety & security,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
home security,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
home security,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
home security,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
home security,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
home security,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
ipad & tablets,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10961,4.453243317215582,0.825107198248335
ipad & tablets,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
ipad & tablets,"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",2814,4.5867093105899075,0.8368869936034116
ipad & tablets,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",580,4.743103448275862,0.853448275862069
ipad & tablets,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
ipads tablets,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",211,4.530805687203792,0.8009478672985783
ipads tablets,"retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,_x000D_
retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,",1,5.0,1.0
ipod,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
ipod,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
ipod,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
ipod,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
ipod,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
kids' tablets,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
kitchen & dining features,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
kitchen & dining features,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
kitchen & dining features,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
kitchen & dining features,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
kitchen & dining features,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
mazon.co.uk,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",19,4.666666666666667,0.6842105263157895
office,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
office,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",248,4.778225806451613,0.8508064516129032
office electronics,"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",2928,4.771857923497268,0.8545081967213115
office electronics,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",580,4.743103448275862,0.853448275862069
office electronics,"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
office electronics,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",49,4.816326530612245,0.9183673469387755
office electronics,"brand name Paperwhite E-reader - White, 6 High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers,,",30,4.533333333333333,0.9
pocketbook touch hd 3 e-reader accessories,"All-New PocketBook Touch HD 3 E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",212,4.429245283018868,0.6792452830188679
pocketbook touch hd 3 paperwhite accessories,"All-New PocketBook Touch HD 3 E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",212,4.429245283018868,0.6792452830188679
pocketbook touch hd 3 store,"All-New PocketBook Touch HD 3 E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",212,4.429245283018868,0.6792452830188679
portable audio & headphones,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
portable audio & headphones,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
portable audio & headphones,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
portable audio & headphones,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
portable audio & headphones,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
power adapters,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",16,4.5,0.3125
power adapters & cables,"All-New PocketBook Touch HD 3 E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",212,4.429245283018868,0.6792452830188679
power adapters & cables,"retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,_x000D_
retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",188,4.452127659574468,0.7659574468085106
power adapters & cables,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",16,4.5,0.3125
power adapters & cables,"retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,_x000D_
retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,",1,4.0,0.0
remote controls,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
remote controls,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
remote controls,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
remote controls,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
remote controls,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
retail brand echo,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
retail brand echo,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
retail brand echo,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
retail brand echo,"9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,_x000D_
9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",35,4.685714285714286,0.8571428571428571
retail brand echo,"retail brand XYZ brand Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,_x000D_
retail brand XYZ brand Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,",6,4.833333333333333,1.0
retail brand echo accessories,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
retail brand echo accessories,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
retail brand echo accessories,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
retail brand echo accessories,"9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,_x000D_
9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",35,4.685714285714286,0.8571428571428571
retail brand echo accessories,"retail brand XYZ brand Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,_x000D_
retail brand XYZ brand Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,",6,4.833333333333333,1.0
see more retail brand brand name voyage (wi-fi),"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
see more retail brand brand name voyage (wi-fi),"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",49,4.816326530612245,0.9183673469387755
see more retail brand brand name voyage (wi-fi),"retail brand Echo and XYZ brand TV Power Adapter,,,_x000D_
retail brand Echo and XYZ brand TV Power Adapter,,,",7,5.0,0.8571428571428571
see more retail brand brand name voyage (wi-fi),"retail brand XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case - Blue",6,4.833333333333333,0.8333333333333334
see more retail brand brand name voyage (wi-fi),"retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,_x000D_
retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,",4,4.75,1.0
see more retail brand brand name voyage 4gb,"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
see more retail brand brand name voyage 4gb,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",49,4.816326530612245,0.9183673469387755
see more retail brand brand name voyage 4gb,"retail brand Echo and XYZ brand TV Power Adapter,,,_x000D_
retail brand Echo and XYZ brand TV Power Adapter,,,",7,5.0,0.8571428571428571
see more retail brand brand name voyage 4gb,"retail brand XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case - Blue",6,4.833333333333333,0.8333333333333334
see more retail brand brand name voyage 4gb,"retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,_x000D_
retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,",4,4.75,1.0
see more target brand name voyage (wi-fi),"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",332,4.716867469879518,0.8554216867469879
see more target brand name voyage (wi-fi),"brand name Paperwhite E-reader - White, 6 High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers,,",30,4.533333333333333,0.9
see more target brand name voyage (wi-fi),"brand name Paperwhite,,,_x000D_
brand name Paperwhite,,,",9,4.888888888888889,1.0
